ID,title,coords,IDImagenVitrina
10931200,9312,"101, 1070, 50",6006001
10931400,9314,"667, 1099, 40",6006004
10931500,9315,"559, 128, 30- 559, 171, 30",6006004
10931600,9316,"432, 996, 50- 439, 929, 30",6006001
10931700,9317,"254, 1070, 50",6006001
10931800,9318,"446, 646, 30- 489, 646, 30- 439, 694, 30",6006004
10931900,9319,"630, 491, 40",6006003
19319100,9319,"137, 487, 40",6006004
10932100,9321,"376, 1111, 30",6008003
19321100,9321,"102, 1111, 30",6008004
10932200,9322,"484, 1095, 40- 485, 1040, 30",6006002
10932300,9323,"502, 708, 30- 502, 757, 40",6006004
10932400,9324,"732, 486, 40",6006003
19324100,9324,"238, 487, 40",6006004
10932500,9325,"756, 486, 50- 756, 548, 50",6006002
19325100,9325,"84, 486, 50- 84, 548, 50",6006003
10932600,9326,"155, 301, 40- 155, 358, 40",6006003
10932800,9328,"592, 1086, 30- 567, 1118, 30",6008002
10932900,9329,"633, 894, 30- 633, 952, 40",6008004
10933100,9331,"646, 1109, 40",6008004
10933200,9332,"576, 1122, 20",6008003
19332100,9332,"301, 1122, 20",6008004
20000009,9335,"696, 1112, 40",6009003
10933600,9336,"563, 518, 20",6009003
10933700,9337,"699, 398, 20",6009003
20000005,9338,"259, 1114, 40",6009003
20000007,9339,"514, 1118, 40",6009003
10934000,9340,"121, 636, 20",6007001
10934300,9343,"742, 619, 20",6009001
19343100,9343,"348, 618, 20",6009002
10934400,9344,"457, 422, 20",6007002
10934900,9349,"750, 450, 20",6007001
19349100,9349,"361, 447, 20",6007002
10935000,9350,"440, 489, 20",6009002
10935700,9357,"752, 549, 10- 752, 570, 10",6007001
19357100,9357,"368, 543, 20- 368, 564, 20",6007002
10936200,9362,"442, 972, 30",6008003
19362100,9362,"184, 974, 30",6008004
20000008,9363,"603, 1114, 40",6009003
10936400,9364,"679, 1001, 20",6009001
19364100,9364,"286, 1004, 20",6009002
10936500,9365,"716, 574, 20",6009001
19365100,9365,"321, 573, 20",6009002
20000005,9369,"259, 1114, 40",6009003
20000007,9370,"514, 1118, 40",6009003
10937200,9372,"580, 928, 20",6009003
10937600,9376,"405, 1031, 30- 405, 1097, 40   se repite en   729, 560, 10- 405, 580, 10",6007001
19376100,9376,"344, 555, 10- 344, 576, 10",6007002
10937900,9379,,6006003
10956800,9568,"66, 670, 20",6007003
10959000,9590,"707, 428, 20",6007001
19590100,9590,"323, 420, 20",6007002
10960000,9600,"228, 825, 20",6007001
10960400,9604,"529, 1033, 40- 529, 1076, 35- 529, 1113, 40",6009002
10960700,9607,,6007003
20000002,9661,"735, 1037, 30- 748, 1092, 30",6007002
20000004,9662,"576, 1075, 50",6007002
20000003,9663,"653, 1037, 30- 662, 1093, 30",6007002
10983000,9830,"704, 882, 30- 703, 944, 30",6006002
20000002,10640,"735, 1037, 30- 748, 1092, 30",6007002
20000001,10641,"495, 1048, 30- 494, 1096, 30",6007002
11081800,10818,"547, 469, 20",6009003
11107100,11071,"258, 984, 15",6010003
11118900,11189,"516, 681, 30- 516, 745, 40",6006003
11119100,11191,"621, 859, 50- 591, 890, 30",6006004
11119500,11195,"165, 673, 20",6007003
11119800,11198,,
11215300,12153,"306, 1106, 20",6009001
11223100,12231,"50, 731, 20- 84, 731, 20",6007003
