ID,IDGroup,title,masInfo,codigo,material,sitio,comuna,provincia,imagenes,video,video3d
4287,428700,Vaso,,4287,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5809.JPG, IMG_5810.JPG, IMG_5811.JPG, IMG_5812.JPG",,
4288,428800,Vaso,,4288,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5632.JPG, IMG_5633.JPG, IMG_5634.JPG",,
4289,428900,Vasija,,4289,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5792.JPG, IMG_5794.JPG, IMG_5795.JPG, IMG_5796.JPG",,
4291,429100,Vaso,,4291,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5773.JPG, IMG_5774.JPG, IMG_5775.JPG, IMG_5776.JPG",,
42951,4295100,Tembetá,,4295,Combarbalita,Guanaqueros,"Coquimbo, Provincia de Elqui",,"IMG_6952.JPG, IMG_6954.JPG, IMG_6955.JPG, IMG_6956.JPG",,
4299,429900,,,4299,,,,,COMODIN.jpg,,
4576,457600,Adorno,,4576,Oro,Hurtado,"Río Hurtado, Provincia de Limarí",,COMODIN.jpg,,
4577,457700,Vaso,,4577,Arcilla,Hurtado,"Río Hurtado, Provincia de Limarí",,"IMG_6306.JPG, IMG_6308.JPG, IMG_6309.JPG, IMG_6310.JPG",,039_L_MK1.mp4
4578,457800,Vasija,,4578,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6237.JPG, IMG_6238.JPG, IMG_6239.JPG, IMG_6240.JPG",,
4854,485400,,,4854,,,,,COMODIN.jpg,,
4893,489300,Pesa de red,,4893,Andesita,Punta Teatinos,"La Serena, Provincia de Elqui",,"IMG_6518.JPG, IMG_6519.JPG",,
4901,490100,Anzuelo,,4901,Cobre,Punta de Teatinos,"La Serena, Provincia de Elqui",,COMODIN.jpg,,
4904,490400,Pinza,,4904,Cobre,Quebrada El Durazno,"Vallenar, Provincia de Huasco",,"IMG_6656.JPG, IMG_6657.JPG, IMG_6661.JPG",,
4906,490600,Pipa,,4906,Combarbalita,El Durazno-La Higuera,"La Higuera, Provincia de Elqui",,"IMG_5910.JPG, IMG_5911.JPG, IMG_5913.JPG",,
5055,505500,Tembetá,,5055,Piedra,"Potrero Higueral, Conay","Alto del Carmen, Provincia de Huasco",,"IMG_6422.JPG, IMG_6423.JPG, IMG_6425.JPG",,
5056,505600,Tembetá,,5056,Piedra,Potrero Higueral-Conay,"Alto del Carmen, Provincia de Huasco",,"IMG_6459.JPG, IMG_6460.JPG, IMG_6461.JPG, IMG_6462.JPG",,
5057,505700,Tembetá,,5057,Piedra,Potrero Higueral.Conay,"Vallenar, Provincia de Huasco",,"IMG_6101.JPG, IMG_6102.JPG, IMG_6103.JPG, IMG_6105.JPG",,
